_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.9674,132.8620697684203,11.810979632291,132.86203403806,11.81097233184,1.0113,0.0785,-7.869,0.262,-1.643,0.107,0,13.27784,0.002857,,,,,
0.9852,132.8373205247831,11.7997538658278,132.83731691387,11.79974189027,-0.369,0.6253,-0.795,0.612,-2.695,0.453,0,20.227915,0.005772,20.602497,0.097361,19.853416,0.086609,0.749081
0.9965,132.8605098109387,11.8223164614773,132.86046098811,11.82230541073,1.1482,0.017,-10.752,0.017,-2.486,0.012,0,13.336247,0.002766,13.633525,0.002853,12.878822,0.003806,0.754703
1.0053,132.8300638365746,11.8075030349414,132.83001389555,11.80748976199,1.3514,0.0951,-10.999,0.097,-2.986,0.069,0,17.290668,0.002886,18.223747,0.014678,16.361435,0.007377,1.862312
1.0057,132.8490611394328,11.8303719414826,132.84901041231,11.83035941031,1.1074,0.0434,-11.171,0.04,-2.82,0.028,0,11.241152,0.003005,11.687434,0.004097,10.627985,0.004347,1.059449
1.0466,132.8287295022393,11.8090007991856,132.82873062016,11.80898845762,0.1747,0.652,0.246,0.656,-2.777,0.44,0,20.121014,0.005751,20.329203,0.120583,19.789494,0.076101,0.539709
1.052,132.8470794729744,11.7964068716022,132.84702966111,11.79639476621,1.2519,0.0548,-10.971,0.056,-2.724,0.037,0,16.08055,0.002803,16.61993,0.008039,15.357469,0.004906,1.262462
1.0614,132.8515530892212,11.8306982311599,132.85150397017,11.83068484286,1.1538,0.0351,-10.817,0.036,-3.012,0.025,0,14.886848,0.002777,15.263571,0.004422,14.313904,0.004583,0.949667
1.0891,132.8301070531768,11.8234415750151,132.83005654527,11.82342860381,1.1674,0.0196,-11.123,0.02,-2.919,0.014,0,13.71689,0.002764,14.014318,0.002924,13.259542,0.003915,0.754776
1.0942,132.8290703322868,11.8060444785907,132.82901989089,11.80603297037,1.538,0.2694,-11.109,0.262,-2.589,0.197,0,18.919186,0.003511,20.286268,0.113467,17.882305,0.02122,2.403963
1.0954,132.8452697226369,11.8321613358458,132.8452768095,11.83213673227,0.1467,0.252,1.561,0.257,-5.536,0.179,0,18.475922,0.003406,19.120176,0.050427,17.610085,0.01205,1.510092
1.1228,132.8306575238672,11.8025077894719,132.83065752387,11.80250778947,,,,,,,0,21.42651,0.041167,21.165663,0.143126,19.526007,0.268972,1.639656
1.1412,132.8569257114511,11.7982584080892,132.85687611938,11.79823820941,-0.0284,0.7024,-10.922,0.683,-4.545,0.642,0,20.272606,0.006277,21.208635,0.162218,19.153534,0.039932,2.055101
1.1538,132.8320335863609,11.8275428071595,132.83198461278,11.82752911072,1.1228,0.0367,-10.785,0.037,-3.082,0.027,0,15.434878,0.002772,15.876985,0.004805,14.830771,0.004163,1.046213
1.2132,132.8272554955028,11.8226425900535,132.82720496615,11.82263040297,1.1466,0.0153,-11.128,0.015,-2.742,0.011,0,12.492557,0.002764,12.803346,0.002838,12.021191,0.0038,0.782155
1.235,132.8635724624452,11.8027703671397,132.86352230365,11.80275739804,1.2571,0.0861,-11.047,0.086,-2.918,0.06,0,17.012089,0.002863,17.940544,0.020529,16.05969,0.005191,1.880854
1.2559,132.8296851225054,11.8275602891435,132.82963073963,11.82755075389,1.9819,0.5518,-11.976,0.528,-2.145,0.356,0,19.884014,0.005147,20.926071,0.117848,18.743292,0.039923,2.182779
1.3153,132.8299225353081,11.798525461247,132.82987263745,11.79851141591,1.1693,0.0184,-10.99,0.018,-3.16,0.013,0,13.535529,0.002777,13.835016,0.00307,13.071354,0.003913,0.763662
