_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.886,88.0609641461546,32.535298139712,88.06097198532,32.53528779749,0.3163,0.0339,1.487,0.042,-2.327,0.026,0,15.252367,0.002777,15.684738,0.003308,14.638297,0.00399,1.046441
0.8903,88.0855735635033,32.5337347798719,88.08558284698,32.53370655765,0.4926,0.4218,1.761,0.493,-6.35,0.304,0,19.294186,0.00473,19.969475,0.148984,18.254105,0.035578,1.71537
0.9052,88.069097346623,32.5305544274596,88.06910763136,32.53052926746,0.6643,0.0188,1.951,0.022,-5.661,0.014,0,12.985277,0.002784,13.191866,0.002979,12.629956,0.004255,0.56191
0.9103,88.0757935368508,32.5299154457351,88.07580448045,32.52989149018,0.5684,0.083,2.076,0.098,-5.39,0.06,0,16.843142,0.002898,17.450411,0.009493,16.140455,0.006466,1.309956
0.9258,88.0921522666365,32.5478314854036,88.09216670811,32.54780696096,1.0041,0.5611,2.739,0.576,-5.518,0.387,0,19.849974,0.006005,21.314333,0.186254,18.871628,0.023232,2.442705
0.931,88.0695077658639,32.530013444652,88.0695158945,32.52998722243,0.7329,0.0544,1.542,0.063,-5.9,0.039,0,15.630434,0.002869,15.791303,0.016799,14.779151,0.031478,1.012152
0.9339,88.0750227095,32.52945229521,88.0750227095,32.52945229521,,,,,,,0,20.727375,0.015204,21.994427,0.607943,20.008591,0.030604,1.985836
0.9341,88.092053956075,32.5488673781818,88.09206481235,32.54884227596,0.6968,0.0967,2.059,0.116,-5.648,0.07,0,17.382154,0.003009,18.048243,0.014775,16.623505,0.007105,1.424738
0.9375,88.0710329136234,32.5295964506973,88.07104434743,32.52959899292,2.2988,1.0082,2.169,1.183,0.572,0.748,0,20.294775,0.012742,19.79468,0.267192,18.410822,0.206513,1.383858
0.941,88.069229357924,32.5601483310741,88.06923906072,32.56012284663,0.6246,0.0177,1.84,0.022,-5.734,0.014,0,13.301252,0.002793,13.489796,0.002938,12.984167,0.004113,0.505629
0.9431,88.0907921674116,32.5378995588677,88.09079672765,32.53789350109,0.1527,0.2239,0.865,0.238,-1.363,0.153,0,18.318895,0.003494,18.558599,0.061765,17.19628,0.021002,1.36232
0.9491,88.0825365848887,32.5308729386795,88.08254744426,32.53084797868,0.65,0.0266,2.06,0.033,-5.616,0.021,0,11.798963,0.002774,11.922856,0.002867,11.558789,0.00381,0.364067
0.9527,88.0912562561104,32.5383637408919,88.09126595128,32.53834015867,0.6179,0.0558,1.839,0.057,-5.306,0.039,0,15.860749,0.002793,16.387171,0.006366,15.125924,0.008522,1.261247
0.9534,88.0553054375042,32.5449386685551,88.05531606132,32.544914233,0.6917,0.018,2.015,0.021,-5.498,0.013,0,11.961087,0.002775,12.153375,0.00288,11.625118,0.003809,0.528256
0.9602,88.09080252422,32.53728938264,88.09080252422,32.53728938264,,,,,,,0,20.899092,0.016507,,,,,
0.9662,88.079619618109,32.5295951745229,88.07963045624,32.52956972119,0.6452,0.029,2.056,0.035,-5.727,0.022,0,14.733029,0.00278,15.111756,0.003477,14.172524,0.003959,0.939232
0.975,88.0562198717442,32.5509717653405,88.05623202009,32.55095949423,0.2088,0.1265,2.304,0.145,-2.761,0.093,0,17.808601,0.003025,18.364536,0.025739,17.110279,0.013439,1.254257
0.9783,88.0551259370044,32.5420999802783,88.05513777309,32.54207641139,0.7357,0.0675,2.245,0.085,-5.303,0.052,0,16.364828,0.002835,16.903879,0.007891,15.679846,0.00524,1.224033
0.9797,88.0903217365597,32.5360297178729,88.09033181105,32.53600450454,0.676,0.0202,1.911,0.025,-5.673,0.015,0,13.60545,0.002781,13.855986,0.002902,13.203331,0.003815,0.652655
0.9908,88.0812224859502,32.5296066128988,88.08122719864,32.52959684401,0.1423,0.2347,0.894,0.293,-2.198,0.164,0,18.358694,0.003712,18.470739,0.073572,17.471949,0.02522,0.998791
0.9908,88.0844297328239,32.5309426170298,88.08443682305,32.53093837703,0.156,0.0688,1.345,0.081,-0.954,0.054,0,16.780052,0.002853,17.487938,0.022082,15.888003,0.010966,1.599935
