_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.1531,139.0438654399697,-36.626442380393,139.04381065296,-36.62642458485,0.8494,0.0291,-9.893,0.027,4.004,0.026,0,15.465279,0.002777,15.799797,0.010343,14.854594,0.011201,0.945203
0.1734,139.0408032048623,-36.6248896347198,139.04077904878,-36.6248696525,0.285,0.0801,-4.362,0.074,4.496,0.074,0,17.516003,0.002915,17.917046,0.009534,16.953272,0.007885,0.963774
0.1854,139.0435977655692,-36.6269617904519,139.04357299412,-36.62694118601,0.3559,0.0306,-4.473,0.028,4.636,0.028,0,15.505557,0.002813,15.695607,0.009678,15.062265,0.019918,0.633342
0.2087,139.048452914171,-36.6233142653181,139.04843948517,-36.62330945643,1.7109,1.0734,-2.425,0.841,1.082,1.163,0,20.706453,0.009231,20.78828,0.186581,20.103979,0.284738,0.684301
0.2106,139.0399377924057,-36.6230915525925,139.03991064652,-36.62308099704,0.3188,0.0592,-4.902,0.053,2.375,0.057,0,16.963066,0.002818,17.448677,0.006358,16.322868,0.006041,1.125809
0.2141,139.0484233358784,-36.624998471721,139.04839993291,-36.62497817839,0.3129,0.0421,-4.226,0.04,4.566,0.04,0,16.38818,0.002795,16.733759,0.004255,15.890497,0.004572,0.843262
0.2438,139.0485541661506,-36.6218682641786,139.04854573788,-36.62184937529,-0.8277,1.6898,-1.522,1.292,4.25,2.334,0,20.905226,0.014161,21.573645,0.217095,20.107643,0.135824,1.466002
0.2488,139.0473077577714,-36.6205912538936,139.04729323835,-36.62058868945,0.5251,0.0278,-2.622,0.024,0.577,0.027,0,15.603719,0.002771,15.96338,0.003834,15.080514,0.004403,0.882866
0.2515,139.0494026474731,-36.6236245018352,139.04937784387,-36.62360448406,0.2835,0.0407,-4.479,0.037,4.504,0.039,0,16.373051,0.002792,16.684557,0.004479,15.902338,0.004466,0.782219
0.2683,139.0484965453132,-36.6267652195708,139.04845580793,-36.6267420418,0.7723,0.2774,-7.356,0.237,5.215,0.26,0,19.511972,0.003832,20.59507,0.083766,18.525595,0.021295,2.069475
0.2745,139.0399300897219,-36.6269464585563,139.03990509122,-36.62692652967,0.29,0.0167,-4.514,0.015,4.484,0.016,0,14.421889,0.002769,14.645492,0.003077,14.05432,0.003899,0.591171
0.3042,139.038234659396,-36.6222240343076,139.03820568639,-36.6222128032,0.423,0.0465,-5.232,0.041,2.527,0.044,0,16.661942,0.002803,17.042519,0.004249,16.119164,0.004683,0.923355
0.3245,139.0457190293104,-36.6186735320925,139.04563789534,-36.61861029212,1.578,0.0837,-14.652,0.075,14.229,0.081,0,17.701189,0.002969,18.850393,0.023726,16.702124,0.006655,2.14827
0.3511,139.045641698847,-36.6296351526667,139.04561857138,-36.62962410378,-0.563,0.5192,-4.176,0.402,2.486,0.559,0,20.121962,0.005298,20.86828,0.089453,19.321152,0.0469,1.547129
0.3607,139.0516666384927,-36.6239890408428,139.05165578998,-36.62396374751,0.5228,0.0432,-1.959,0.041,5.691,0.04,0,15.916441,0.002788,16.289156,0.003941,15.357644,0.004339,0.931512
0.374,139.0365210440447,-36.6245473582479,139.03643965469,-36.62451136272,1.14,0.9893,-14.697,0.751,8.099,0.946,0,20.637865,0.007799,21.345657,0.15337,19.502884,0.064568,1.842773
0.4039,139.0441227595032,-36.6171779043185,139.04409780293,-36.61715759321,0.2866,0.0252,-4.507,0.022,4.57,0.026,0,15.190064,0.002781,15.438412,0.003519,14.772142,0.004165,0.666269
0.407,139.0514997863891,-36.6273152517775,139.05147548002,-36.62729481178,0.309,0.0223,-4.389,0.019,4.599,0.021,0,14.984223,0.002772,15.205985,0.003482,14.606302,0.003978,0.599683
0.4255,139.0394310079269,-36.6298754314277,139.0394072878,-36.62986383143,0.4213,0.0309,-4.283,0.028,2.61,0.03,0,15.886204,0.002778,16.256016,0.003722,15.346998,0.004158,0.909018
0.436,139.046669755065,-36.630893269545,139.04664993911,-36.63087772288,0.2533,0.1779,-3.578,0.15,3.498,0.155,0,18.88047,0.003428,19.351883,0.026582,18.192278,0.022286,1.159605
