_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.018,254.7778631728222,-52.7116389305751,254.77782529621,-52.71165041947,-1.9198,1.3645,-5.163,2.21,-2.585,1.478,0,20.799496,0.013607,21.086252,0.20322,20.467752,0.365599,0.6185
0.0608,254.7764786767523,-52.7114150051269,254.77646455471,-52.71144166735,-0.5676,0.4077,-1.925,0.456,-5.999,0.353,0,19.886753,0.004647,20.757202,0.0981,19.39044,0.041264,1.366762
0.0653,254.7794433173026,-52.7125281470385,254.77940955559,-52.71255085371,0.3994,0.0606,-4.602,0.067,-5.109,0.051,0,14.636272,0.00279,15.082791,0.003073,14.007277,0.003831,1.075515
0.0781,254.7759611455751,-52.7124142442592,254.77592956283,-52.71243851093,0.1873,0.4655,-4.305,0.484,-5.46,0.377,0,19.916222,0.004692,20.728205,0.083373,19.562571,0.058711,1.165634
0.0885,254.7796542292594,-52.71086808123,254.77961801126,-52.71089044568,0.3555,0.2364,-4.937,0.284,-5.032,0.217,0,18.98052,0.003501,19.9104,0.03655,18.260096,0.016895,1.650305
0.113,254.7769963514834,-52.7101264404835,254.77695089819,-52.71015497827,0.0826,0.1451,-6.196,0.159,-6.421,0.126,0,18.291475,0.003023,18.861771,0.013958,17.606091,0.009627,1.25568
0.1268,254.7813859178657,-52.712187384122,254.7813786403,-52.7122024019,0.1279,0.3612,-0.992,0.406,-3.379,0.308,0,19.688927,0.00428,20.106911,0.050133,18.889973,0.030582,1.216938
0.1295,254.7790707633278,-52.7139557220189,254.77903099921,-52.71399452647,0.6936,0.1604,-5.42,0.191,-8.731,0.142,0,17.958012,0.003322,18.863438,0.015319,16.976967,0.007559,1.886471
0.1483,254.7816348290139,-52.7108959375478,254.78163409541,-52.71092483977,-0.5391,0.9287,-0.1,1.237,-6.503,0.777,0,20.553982,0.008038,20.799715,0.136571,19.246792,0.04021,1.552923
0.1486,254.7782741621907,-52.7094469556567,254.77823798205,-52.70947517344,-0.5854,0.4496,-4.932,0.481,-6.349,0.401,0,19.931765,0.004974,20.664846,0.066192,19.399836,0.045688,1.265011
0.1646,254.7739337326536,-52.7131848761965,254.77391624262,-52.71323001842,0.2843,0.0744,-2.384,0.088,-10.157,0.06,0,16.909206,0.002813,17.415239,0.007638,16.238581,0.005177,1.176659
0.172,254.7753352972207,-52.7143179469109,254.7753274984,-52.7143439558,-0.3824,0.7304,-1.063,0.883,-5.852,0.632,0,20.278435,0.005712,21.360943,0.674439,19.548498,0.086894,1.812445
0.1778,254.782803878915,-52.7116365959694,254.78277801894,-52.71162153375,0.6907,0.2751,-3.525,0.313,3.389,0.234,0,19.331865,0.003704,20.76264,0.072036,18.346697,0.017,2.415943
0.1792,254.7732576508456,-52.7109778108509,254.77323976555,-52.71100186863,-0.6706,0.8569,-2.438,1.046,-5.413,0.778,0,20.538857,0.006951,20.833649,0.116282,19.962421,0.098817,0.871227
0.1878,254.7809248345465,-52.709340110309,254.78086642709,-52.70937389699,1.0315,0.7996,-7.962,0.803,-7.602,0.675,0,20.408722,0.00662,21.221319,0.137575,20.106796,0.085066,1.114523
0.1901,254.7754930943979,-52.7091232243679,254.77547092579,-52.70914310437,-1.0851,0.4998,-3.022,0.566,-4.473,0.43,0,19.98354,0.004859,20.551455,0.073859,19.335695,0.058463,1.215759
0.1944,254.7726370016361,-52.7122916477039,254.77260236709,-52.71231503882,0.6293,0.0848,-4.721,0.102,-5.263,0.073,0,17.138708,0.00286,17.69791,0.012945,16.399197,0.005814,1.298714
0.2036,254.7733377743186,-52.7100101873111,254.77330962651,-52.71001422287,0.3404,0.6478,-3.837,0.726,-0.908,0.585,0,20.316299,0.007671,19.865116,0.135611,18.780762,0.092817,1.084354
