_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.0856,97.3965408247418,-31.281409961761,97.39653464141,-31.28138277065,0.2272,0.2619,-0.0616,0.3168,-1.189,0.346,6.118,0.332,0,19.763294,0.00446,20.358114,0.068249,18.940828,0.037961,1.417286
0.1089,97.3971292703176,-31.2820087109032,97.3971225825,-31.28198453757,0.0317,0.0338,0.2215,0.0414,-1.286,0.046,5.439,0.045,0,16.607706,0.002805,16.862144,0.005914,16.183867,0.007255,0.678278
0.1411,97.3924125058893,-31.2811857562276,97.39240593774,-31.28116081845,0.0217,0.0239,0.2218,0.0293,-1.263,0.031,5.611,0.03,0,15.915832,0.002807,16.040228,0.01454,15.335167,0.013354,0.705061
0.1422,97.3923137562725,-31.2825338217965,97.39230729724,-31.28251023513,0.0861,0.0921,0.2729,0.1146,-1.242,0.125,5.307,0.114,0,18.408983,0.003135,18.907804,0.018138,17.826572,0.014679,1.081232
0.1429,97.3966943558815,-31.2800459755483,97.39670691478,-31.28006244666,0.0988,0.1024,0.2956,0.1308,2.415,0.144,-3.706,0.138,0,17.533278,0.003242,17.581985,0.014163,16.789417,0.009252,0.792568
0.1497,97.3978727164427,-31.2814900246932,97.39786612227,-31.28146565136,0.0274,0.0299,0.2162,0.0363,-1.268,0.039,5.484,0.039,0,16.243938,0.002872,16.515068,0.008875,15.819635,0.005825,0.695433
0.1512,97.39672520292,-31.27990168268,97.39672520292,-31.27990168268,10.2594,10.2079,,,,,,,0,19.072811,0.007237,,,,,
0.1669,97.3919447820715,-31.2810254780454,97.39193792791,-31.28100104249,0.0442,0.0486,0.3077,0.0606,-1.318,0.064,5.498,0.062,0,17.021067,0.00724,,,,,
0.1707,97.3930455344253,-31.279670274122,97.39303879477,-31.2796463319,0.0347,0.0375,0.1716,0.0455,-1.296,0.051,5.387,0.049,0,16.825251,0.002816,17.086657,0.005792,16.420685,0.005286,0.665972
0.1782,97.3976030262907,-31.2799944568754,97.39759639582,-31.27997010132,0.0393,0.043,0.2208,0.0534,-1.275,0.056,5.48,0.059,0,16.852907,0.003267,16.699511,0.076076,15.99281,0.073387,0.7067
0.1787,97.3979222189745,-31.2803374406065,97.39791545847,-31.28031285394,0.0395,0.0428,0.274,0.0527,-1.3,0.055,5.532,0.056,0,16.805208,0.002981,16.68475,0.034228,16.069244,0.027821,0.615505
0.1849,97.393786727546,-31.2848685823276,97.39378032036,-31.28484404455,0.0941,0.0991,0.3164,0.1203,-1.232,0.132,5.521,0.122,0,18.501163,0.003154,18.985207,0.022822,17.986095,0.01372,0.999111
0.1849,97.3914632134108,-31.2813981270798,97.39145656724,-31.28137356708,0.0725,0.0843,-0.0378,0.1026,-1.278,0.107,5.526,0.108,0,17.938305,0.002997,18.152834,0.077282,17.248455,0.030158,0.904379
0.1931,97.3912530080039,-31.2817135688743,97.39124635141,-31.28169096443,0.2408,0.2589,1.0159,0.3133,-1.28,0.396,5.086,0.312,0,19.633772,0.004689,,,,,
0.1947,97.3975548392363,-31.2795636064776,97.39754796958,-31.2795389087,0.0775,0.0713,0.2215,0.0893,-1.321,0.118,5.557,0.094,0,17.794182,0.00311,,,,,
0.2081,97.3965321198018,-31.2787546024665,97.39652552062,-31.2787303358,0.0304,0.0333,0.2073,0.0408,-1.269,0.044,5.46,0.045,0,16.572958,0.002815,16.77367,0.008477,16.14674,0.006161,0.62693
0.2141,97.3975486288922,-31.27914130873,97.39754794765,-31.27911770873,0.4043,0.3659,-0.9181,0.4481,-0.131,0.532,5.31,0.418,0,19.985283,0.005876,,,,,
0.2172,97.3987067363601,-31.2802048488876,97.39870004347,-31.28018087111,0.0637,0.0692,0.3346,0.0854,-1.287,0.091,5.395,0.091,0,17.936253,0.002969,18.227144,0.03647,17.401043,0.044319,0.826101
0.2191,97.3965228899643,-31.2853828566388,97.39651684679,-31.28535876775,0.0402,0.0431,0.2423,0.053,-1.162,0.056,5.42,0.058,0,17.006361,0.00284,17.262613,0.007141,16.58124,0.006954,0.681374
0.2253,97.3973623448981,-31.2788308503559,97.39734839768,-31.27877138369,0.4471,0.465,1.134,0.577,-2.682,0.671,13.38,0.616,0,19.164259,0.007086,,,,,
0.2327,97.3974379188719,-31.2852438626764,97.39743000867,-31.28522003601,0.0775,0.0828,0.325,0.1011,-1.521,0.108,5.361,0.11,0,18.177252,0.003065,18.386242,0.031778,17.568769,0.032849,0.817472
0.2338,97.3982184852901,-31.2847366115176,97.39821155805,-31.28471115374,0.0338,0.036,0.2076,0.0437,-1.332,0.048,5.728,0.048,0,16.45895,0.002812,16.619375,0.008742,16.004641,0.008228,0.614735
0.2339,97.3975125467,-31.2786915754,97.3975125467,-31.2786915754,0.8991,1.701,,,,,,,0,20.104181,0.010177,,,,,
0.2392,97.3996072534796,-31.2826229635532,97.39960078404,-31.28259847022,0.0206,0.0221,0.2195,0.027,-1.244,0.029,5.511,0.029,0,15.80875,0.002779,16.070286,0.003765,15.396191,0.004334,0.674095
0.244,97.3947969389287,-31.2779062256965,97.3947902098,-31.27788191903,0.0218,0.0236,0.1969,0.0289,-1.294,0.031,5.469,0.031,0,15.915771,0.002783,16.162992,0.003851,15.518328,0.004064,0.644665
0.2477,97.396840399322,-31.2781493186654,97.39683355577,-31.27812452311,0.0241,0.0259,0.1963,0.0318,-1.316,0.034,5.579,0.035,0,16.127474,0.002788,16.353554,0.005666,15.6908,0.007185,0.662754
0.2498,97.3908973944337,-31.2842024368298,97.39088957793,-31.28417787683,0.0622,0.0649,0.2453,0.0806,-1.503,0.089,5.526,0.082,0,17.731499,0.004718,18.127975,0.017142,17.164589,0.014011,0.963387
0.2512,97.3989455738351,-31.2844589260009,97.3989385166,-31.28443337489,0.1349,0.1347,0.137,0.1657,-1.357,0.186,5.749,0.175,0,15.095584,0.004148,15.232006,0.010858,14.692468,0.009234,0.539538
0.2582,97.390526830991,-31.2800007849021,97.390521329,-31.27997672268,0.0379,0.0424,0.3223,0.0515,-1.058,0.054,5.414,0.053,0,16.858847,0.002861,,,,,
0.2595,97.3997250084505,-31.2804091701243,97.39971876798,-31.28038372568,0.0463,0.0504,0.2254,0.0617,-1.2,0.066,5.725,0.066,0,17.387278,0.002892,17.678381,0.008362,16.818432,0.006609,0.859949
0.2627,97.3911039682643,-31.2791324409976,97.39109743146,-31.27910810322,0.0258,0.0277,0.1588,0.0337,-1.257,0.037,5.476,0.036,0,16.24139,0.002792,16.495386,0.004295,15.829397,0.004511,0.665989
0.2658,97.3946794733246,-31.2863906993243,97.39467346129,-31.28636585488,0.0146,0.015,0.3023,0.0185,-1.156,0.02,5.59,0.019,0,14.659722,0.002762,15.137168,0.003073,14.024117,0.003885,1.11305
0.2747,97.3932217227068,-31.2862862804643,97.39321506579,-31.28626195602,0.0369,0.0384,0.1929,0.0472,-1.28,0.051,5.473,0.048,0,16.921736,0.002822,17.173096,0.006164,16.501537,0.006207,0.671558
0.2785,97.3899703164148,-31.2802321733376,97.38996304108,-31.28020711556,0.0326,0.0348,0.158,0.0428,-1.399,0.046,5.638,0.044,0,16.595703,0.002822,16.760965,0.010011,16.001158,0.02251,0.759808
0.2841,97.3897908762237,-31.2835674201032,97.3897842299,-31.28354252677,0.0525,0.0565,0.1853,0.0691,-1.278,0.075,5.601,0.071,0,17.608599,0.002883,17.988953,0.008119,17.123047,0.007001,0.865906
0.3061,97.3911936646022,-31.278043436182,97.39118666505,-31.27801857396,0.0482,0.0516,0.1622,0.0632,-1.346,0.069,5.594,0.065,0,17.445951,0.002863,17.751892,0.008931,17.001047,0.007083,0.750845
0.3222,97.3985748903693,-31.2863890919732,97.39856898755,-31.28636463864,0.0083,0.0087,0.2085,0.0108,-1.135,0.012,5.502,0.012,0,13.461892,0.002758,13.953719,0.002863,12.810559,0.003813,1.14316
0.3273,97.4013221954875,-31.2827623814132,97.40131564283,-31.28273780808,0.0374,0.0394,0.2082,0.0482,-1.26,0.053,5.529,0.05,0,16.970371,0.002828,17.25351,0.008575,16.540707,0.006657,0.712803
0.3296,97.3950806432262,-31.2874660844389,97.39506369388,-31.28743764444,0.3771,0.3533,-1.6504,0.4438,-3.259,0.567,6.399,0.426,0,20.10078,0.00597,20.358881,0.074447,19.078829,0.046782,1.280052
0.3311,97.3885618314357,-31.2823553343044,97.38855906477,-31.28232804986,0.3585,0.5275,-0.3064,0.5659,-0.532,0.521,6.139,0.729,0,20.273056,0.006512,21.132832,0.14744,19.456993,0.043547,1.675838
0.3432,97.3885580050197,-31.2804368727321,97.38855127051,-31.28041221051,0.0592,0.0634,0.3184,0.0783,-1.295,0.085,5.549,0.081,0,17.759447,0.002909,18.08112,0.012068,17.263197,0.009813,0.817923
0.3561,97.3912426043126,-31.2769343215906,97.39126925534,-31.27693822826,0.2162,0.2419,1.0669,0.2993,5.125,0.323,-0.879,0.285,0,19.575912,0.004206,20.949022,0.112547,18.577042,0.019742,2.371981
0.3581,97.3988517146126,-31.286944605491,97.39884630583,-31.28692669438,0.4837,0.6243,1.0471,0.8564,-1.04,0.72,4.03,1.16,0,20.060249,0.014886,18.546043,0.582256,17.026867,0.019156,1.519176
0.3652,97.3886759977439,-31.2791798971521,97.38867016298,-31.27915499493,0.0503,0.055,0.1506,0.0673,-1.122,0.073,5.603,0.07,0,17.52566,0.00289,17.86253,0.009309,17.060017,0.006155,0.802513
0.3746,97.4001361679507,-31.2775236219698,97.40012990167,-31.27749918197,0.0209,0.0224,0.2226,0.0275,-1.205,0.03,5.499,0.029,0,15.702998,0.002781,15.931973,0.004366,15.297487,0.004398,0.634485
0.3773,97.3876879465482,-31.2813136715987,97.38768137839,-31.28128918271,0.0258,0.0281,0.2349,0.035,-1.263,0.037,5.51,0.036,0,16.264162,0.002794,16.518705,0.004396,15.869751,0.004419,0.648954
0.3787,97.39676439106,-31.2758151349,97.39676439106,-31.2758151349,12.6285,13.7514,,,,,,,0,21.083879,0.024117,21.357813,0.316068,19.83456,0.182275,1.523252
0.3806,97.39520838285,-31.28828532974,97.39520838285,-31.28828532974,1.764,2.1927,,,,,,,0,21.038223,0.025849,21.078514,0.197347,20.285328,0.044699,0.793186
0.386,97.3884528322322,-31.285137722901,97.38844739755,-31.28511289179,0.1283,0.1537,0.0169,0.1881,-1.045,0.191,5.587,0.228,0,18.988945,0.003661,19.741261,0.033942,18.381207,0.016239,1.360054
0.3909,97.4008458656066,-31.2777798139731,97.40083836165,-31.27775576064,0.0637,0.0685,0.1364,0.0836,-1.443,0.092,5.412,0.086,0,17.886497,0.003744,,,,,
0.3957,97.4026082399642,-31.2831135115853,97.40260051196,-31.28308983603,0.1103,0.1205,0.3931,0.1469,-1.486,0.157,5.327,0.154,0,18.774986,0.003249,19.169081,0.028081,18.211494,0.024228,0.957586
0.4096,97.3883307179333,-31.2782213977153,97.38832337515,-31.27819616216,0.3282,0.3398,-0.0489,0.4038,-1.412,0.504,5.678,0.427,0,20.030907,0.005615,20.221451,0.094883,19.29537,0.067517,0.926081
0.4252,97.3888708857785,-31.2772012988621,97.38886464032,-31.27717687664,0.0247,0.0269,0.2398,0.0328,-1.201,0.035,5.495,0.034,0,16.185141,0.002789,16.41571,0.00512,15.766758,0.006613,0.648952
0.4278,97.4012108576315,-31.2772014067487,97.40120453937,-31.27717699786,0.0412,0.0442,0.2632,0.0547,-1.215,0.06,5.492,0.058,0,17.088282,0.002849,17.272585,0.013775,16.633011,0.009324,0.639574
0.4313,97.4012111015,-31.2868213441499,97.40120496462,-31.28679702415,0.0202,0.0212,0.1777,0.026,-1.18,0.028,5.472,0.027,0,15.669077,0.002778,15.917187,0.003566,15.265693,0.004139,0.651494
0.4338,97.4000548619587,-31.2761663502764,97.40004701492,-31.27614152361,0.0222,0.0236,0.2146,0.0289,-1.509,0.032,5.586,0.03,0,15.956015,0.002787,16.222727,0.003783,15.525011,0.004424,0.697716
0.4398,97.39945837816,-31.28820720274,97.39945837816,-31.28820720274,1.2764,2.3212,,,,,,,0,20.840176,0.012257,20.926704,0.236401,19.792135,0.133794,1.134569
0.442,97.4031774058026,-31.2796215548242,97.40316916325,-31.27959615038,0.0752,0.0814,0.0739,0.0995,-1.585,0.107,5.716,0.102,0,18.090515,0.003016,18.413467,0.019141,17.567854,0.01102,0.845613
0.4517,97.3952156020526,-31.2744440038181,97.39520139548,-31.27441875493,0.5483,0.6508,-1.1291,0.8672,-2.732,0.812,5.681,0.837,0,20.63703,0.00869,21.597954,0.268073,19.774303,0.170117,1.82365
0.4537,97.3880051458186,-31.2773456465965,97.38799795391,-31.27732065993,0.0206,0.0222,0.3086,0.0271,-1.383,0.029,5.622,0.028,0,15.804757,0.002781,16.039732,0.003999,15.376498,0.005266,0.663234
0.4563,97.4026875235687,-31.2858112486654,97.40268127754,-31.28578501311,0.1129,0.1217,0.256,0.1461,-1.201,0.158,5.903,0.15,0,18.744257,0.003311,19.12286,0.029975,18.038282,0.028563,1.084578
0.4572,97.402128826593,-31.28655314259,97.40212766683,-31.28652230259,0.2603,0.2709,0.5955,0.3328,-0.223,0.362,6.939,0.347,0,17.275721,0.00534,17.461143,0.013421,16.691769,0.010037,0.769375
0.4626,97.392823081993,-31.2894501778343,97.39281699175,-31.28942601339,0.1385,0.1535,0.2566,0.1894,-1.171,0.202,5.437,0.184,0,19.092869,0.003682,19.480413,0.066069,18.360668,0.035696,1.119745
0.4649,97.4032853967216,-31.2851264074832,97.40327876589,-31.28510191415,0.0274,0.0294,0.2696,0.0358,-1.275,0.039,5.511,0.037,0,16.290598,0.002796,16.538694,0.004561,15.888512,0.004708,0.650183
0.4661,97.3960474086383,-31.2742542465705,97.39603475171,-31.27422597546,0.3461,0.4135,-0.5102,0.5421,-2.434,0.487,6.361,0.505,0,20.267599,0.005901,20.952005,0.116053,19.757257,0.152869,1.194748
0.4802,97.3877810680328,-31.2870599966187,97.3877739898,-31.28703530773,0.0479,0.0528,0.1186,0.0675,-1.361,0.07,5.555,0.066,0,17.374556,0.002868,17.715097,0.007818,16.898201,0.006766,0.816896
0.485,97.4033849997826,-31.2782220364154,97.40337977871,-31.27819712086,0.1649,0.1909,0.1702,0.2384,-1.004,0.25,5.606,0.234,0,19.311178,0.003925,19.811607,0.060771,18.682961,0.039718,1.128647
0.486,97.3965944998295,-31.2899542065521,97.39658827433,-31.28992966433,0.0097,0.01,0.2322,0.0123,-1.197,0.014,5.522,0.013,0,13.930634,0.002759,14.441901,0.002876,13.265518,0.0038,1.176383
0.488,97.403762070612,-31.2787825843743,97.40375636068,-31.27875865993,0.0634,0.0687,0.3239,0.0834,-1.098,0.09,5.383,0.086,0,17.918365,0.002982,18.185896,0.014844,17.421827,0.013399,0.764069
0.4933,97.3965638132903,-31.2738540635531,97.39655698045,-31.27383041022,0.0997,0.109,0.245,0.133,-1.314,0.14,5.322,0.141,0,18.626766,0.003178,19.006239,0.02201,18.060329,0.016351,0.94591
0.4944,97.3923203824348,-31.2898823601876,97.39231409973,-31.28985790241,0.04,0.0437,0.2331,0.0542,-1.208,0.058,5.503,0.056,0,17.09874,0.002856,17.358109,0.007819,16.648018,0.007206,0.710091
0.5043,97.4022000954464,-31.287699706781,97.40219363606,-31.28767515567,0.0765,0.082,0.3869,0.0998,-1.242,0.105,5.524,0.1,0,18.189453,0.003032,18.551577,0.01873,17.696548,0.014038,0.855028
0.51,97.3878476108327,-31.2760654089933,97.38784411113,-31.27604119566,0.1842,0.2136,-0.3919,0.2633,-0.673,0.276,5.448,0.256,0,19.467499,0.004159,19.953802,0.043665,18.709461,0.024672,1.244341
0.5103,97.3993911468264,-31.2896049962187,97.3993834755,-31.28958022733,0.081,0.0902,0.3866,0.1111,-1.475,0.115,5.573,0.114,0,18.298241,0.003085,18.707594,0.017819,17.820606,0.013994,0.886988
0.5191,97.3861179623019,-31.2861119319232,97.38611250156,-31.28608611859,0.0953,0.1068,0.2385,0.1346,-1.05,0.139,5.808,0.138,0,18.533998,0.003216,18.958069,0.017499,18.033592,0.012222,0.924477
0.5344,97.4054260537731,-31.2820433961755,97.40542084289,-31.28202180062,0.3555,0.4133,0.1896,0.5353,-1.002,0.512,4.859,0.454,0,20.185825,0.005819,20.813019,0.111716,19.40756,0.063713,1.405458
0.5382,97.3993927325434,-31.2738197254987,97.39938669531,-31.27379583661,0.137,0.155,0.0861,0.195,-1.161,0.208,5.375,0.19,0,19.074598,0.00362,19.57353,0.027751,18.509825,0.020756,1.063705
0.539,97.3910128982808,-31.2902754019416,97.39100056166,-31.29025277972,0.761,0.857,0.5239,1.1925,-2.372,1.048,5.09,1.046,0,20.758459,0.010905,21.245129,0.137144,19.932381,0.134346,1.312748
0.5413,97.385063611945,-31.2789424407154,97.38505634191,-31.27891824516,0.0992,0.1132,0.2321,0.1441,-1.398,0.147,5.444,0.146,0,18.639847,0.00328,19.127945,0.025509,18.153177,0.01541,0.974768
0.5458,97.3872556659029,-31.2882031730521,97.38724900365,-31.28817887083,0.0286,0.0325,0.227,0.0395,-1.281,0.042,5.468,0.042,0,16.32798,0.002797,16.576422,0.004781,15.92977,0.004774,0.646652
0.5533,97.3943614611362,-31.2911521677714,97.39422314095,-31.29114149229,0.0162,0.017,3.1982,0.0208,-26.595,0.023,2.402,0.022,0,15.234824,0.00277,16.073545,0.003245,14.333823,0.003872,1.739722
0.5551,97.4051427638308,-31.2786963119487,97.40513593584,-31.27869470306,0.3987,0.4892,-0.0173,0.6238,-1.313,0.564,0.362,0.574,0,20.327028,0.006767,,,,,
0.5557,97.392738593475,-31.2910251801532,97.39273255514,-31.29100056682,0.0401,0.043,0.363,0.0523,-1.161,0.057,5.538,0.054,0,17.032557,0.002832,17.337902,0.007457,16.561089,0.006266,0.776814
0.5614,97.3916103497793,-31.2908656570354,97.39160439467,-31.29084014148,0.0588,0.0651,0.3323,0.0817,-1.145,0.087,5.741,0.085,0,17.785566,0.00297,18.149012,0.01517,17.24745,0.008646,0.901562
0.5706,97.4032930833559,-31.2756219231976,97.4032867548,-31.27559810542,0.0177,0.019,0.2284,0.0229,-1.217,0.026,5.359,0.024,0,15.289331,0.002806,15.34757,0.003114,15.193913,0.004026,0.153658
0.5811,97.3840299418297,-31.2843798682998,97.38402330585,-31.2843553883,0.0259,0.0286,0.2568,0.0348,-1.276,0.036,5.508,0.035,0,16.154879,0.002797,16.426098,0.004093,15.73704,0.004262,0.689058
0.5841,97.4057896509879,-31.2788303195576,97.40578252657,-31.27880586178,0.0422,0.0468,0.1501,0.0564,-1.37,0.059,5.503,0.057,0,17.194679,0.002851,17.453192,0.00915,16.76692,0.007522,0.686272
0.5866,97.3878849119875,-31.2896178159309,97.38787828084,-31.28959470482,0.1011,0.1145,0.3947,0.1428,-1.275,0.147,5.2,0.144,0,18.579803,0.003207,19.065582,0.019944,17.968115,0.015132,1.097467
0.5898,97.3835534955963,-31.2828641649642,97.38354623566,-31.28283780052,0.1743,0.2145,-0.0354,0.2711,-1.396,0.27,5.932,0.265,0,19.423758,0.004281,20.08712,0.044816,18.844145,0.025969,1.242975
0.5913,97.3953584585648,-31.2918182062121,97.39535268023,-31.29179450399,0.0194,0.0205,0.2214,0.0252,-1.111,0.027,5.333,0.026,0,15.686549,0.00278,15.945794,0.003339,15.262532,0.004301,0.683262
0.5966,97.3893520805888,-31.2732801044398,97.38934549739,-31.27325538444,0.0208,0.0227,0.268,0.0273,-1.266,0.029,5.562,0.029,0,15.723635,0.002813,15.988945,0.003759,15.300906,0.004311,0.688039
0.6026,97.3838523463552,-31.2851622147528,97.38386367338,-31.28515164142,0.4934,0.5884,0.3975,0.7545,2.178,0.692,2.379,0.665,0,20.527422,0.008215,20.432804,0.097309,19.490908,0.055788,0.941896
0.6105,97.390715664373,-31.2914610612521,97.39070931395,-31.29143619903,0.0304,0.034,0.2961,0.0415,-1.221,0.044,5.594,0.044,0,16.573048,0.002818,16.912756,0.004477,16.083851,0.004582,0.828905
0.6121,97.3917203247488,-31.2917751810632,97.39171573745,-31.29175232773,0.1531,0.1754,0.5049,0.2225,-0.882,0.23,5.142,0.226,0,19.164471,0.003567,19.59803,0.082934,18.53459,0.038138,1.06344
0.6133,97.4046326110434,-31.2759021247109,97.40462597046,-31.2758778136,0.0659,0.0751,0.2762,0.0901,-1.277,0.096,5.47,0.094,0,17.961397,0.003015,18.280357,0.011541,17.428776,0.008746,0.851582
0.6142,97.4069111779255,-31.2831056148131,97.40690372035,-31.28308148148,0.0446,0.048,0.0886,0.058,-1.434,0.063,5.43,0.059,0,16.874754,0.002853,17.081186,0.006856,16.350988,0.011013,0.730198
0.6143,97.3974073227268,-31.2919995292364,97.39739856419,-31.29197570257,0.0888,0.0992,0.4039,0.1214,-1.684,0.127,5.361,0.129,0,18.339678,0.003109,18.82618,0.02277,17.763201,0.013594,1.062979
0.6176,97.3988414377318,-31.2917259231876,97.39883446837,-31.29170162541,0.0583,0.065,0.2863,0.08,-1.34,0.082,5.467,0.085,0,17.733959,0.002929,18.086632,0.010903,17.178516,0.012402,0.908115
0.6244,97.4064982993067,-31.2854100207499,97.40649240695,-31.28538510075,0.0403,0.0439,0.2319,0.0535,-1.133,0.056,5.607,0.055,0,17.067295,0.002841,17.342785,0.007907,16.631197,0.006998,0.711588
0.6287,97.3837467275606,-31.2861130309964,97.38373840643,-31.28608836433,0.0457,0.0508,0.2418,0.0627,-1.6,0.067,5.55,0.074,0,17.257902,0.002879,17.585117,0.006735,16.781483,0.006378,0.803635
0.6287,97.3929363524448,-31.2716393267799,97.39293150613,-31.27161596678,0.1088,0.1064,0.3021,0.1382,-0.932,0.15,5.256,0.134,0,17.164238,0.003152,17.274626,0.011299,16.431761,0.006956,0.842865
0.6326,97.3987027303927,-31.2920924670661,97.39862243159,-31.29202335598,0.4763,0.5517,2.4222,0.5903,-15.439,0.634,15.55,0.619,0,20.188477,0.007059,,,,,
0.633,97.3888361118625,-31.2911063754355,97.38883159741,-31.29108237988,0.1538,0.1763,0.3692,0.2249,-0.868,0.232,5.399,0.228,0,19.239756,0.003819,19.828966,0.038606,18.645283,0.022368,1.183683
0.6344,97.3971185054759,-31.271566574539,97.39707741583,-31.27152177899,0.0885,0.0961,0.9601,0.116,-7.902,0.127,10.079,0.125,0,18.226467,0.00322,18.747658,0.023868,17.197891,0.013066,1.549767
0.6349,97.3994389728266,-31.2720897318409,97.39943245731,-31.27206498073,0.0267,0.0292,0.2048,0.0351,-1.253,0.038,5.569,0.037,0,16.31617,0.002795,16.585159,0.004151,15.901963,0.00448,0.683196
0.6395,97.407448272949,-31.2826764682533,97.40744415934,-31.28265257492,0.0545,0.0615,0.3817,0.0738,-0.791,0.078,5.376,0.08,0,17.575872,0.002927,,,,,
0.654,97.396989555217,-31.2712006610822,97.39698627409,-31.27117691886,0.2378,0.2077,0.4077,0.2689,-0.631,0.368,5.342,0.262,0,19.300217,0.004262,,,,,
0.6549,97.392697807553,-31.2927038101899,97.39269196155,-31.29267893019,0.1817,0.208,0.4343,0.2633,-1.124,0.265,5.598,0.263,0,19.414267,0.003784,20.049364,0.053733,18.799927,0.030283,1.249437
0.657,97.3901826211959,-31.2718251309998,97.39017467052,-31.271801171,0.0812,0.0883,0.1305,0.1078,-1.529,0.117,5.391,0.112,0,18.323635,0.003068,18.687429,0.018066,17.804373,0.014904,0.883057
0.6617,97.4076388039172,-31.2842246294998,97.40763209514,-31.2842005095,0.0381,0.0402,0.2254,0.049,-1.29,0.054,5.427,0.051,0,16.909382,0.002826,17.12253,0.007855,16.471075,0.006493,0.651455
0.666,97.3921833418417,-31.2711340020543,97.3921764416,-31.27110955761,0.0208,0.0223,0.2941,0.027,-1.327,0.029,5.5,0.028,0,15.793622,0.002778,16.030247,0.003713,15.388137,0.004373,0.64211
0.6712,97.38260805422,-31.28554601144,97.38260805422,-31.28554601144,0.6703,1.384,,,,,,,0,20.226538,0.011301,,,,,
0.6771,97.381811956623,-31.2815134857265,97.38180537805,-31.28148929906,0.0216,0.0238,0.203,0.0293,-1.265,0.031,5.442,0.031,0,15.891278,0.002782,16.139597,0.003576,15.496113,0.004248,0.643484
0.6781,97.4080896984684,-31.2803181174154,97.40808246473,-31.28029364186,0.0787,0.0905,0.366,0.1091,-1.391,0.115,5.507,0.117,0,18.247355,0.003045,18.659195,0.017891,17.672863,0.012279,0.986332
0.6793,97.4078252459957,-31.2848296814509,97.40781832915,-31.28480437034,0.1475,0.1668,-0.0047,0.2052,-1.33,0.207,5.695,0.229,0,18.996288,0.00356,,,,,
0.683,97.3822670137569,-31.2853238921789,97.38226931245,-31.28529364329,0.0188,0.02,0.6922,0.0248,0.442,0.027,6.806,0.026,0,15.546611,0.002773,15.909698,0.003574,15.00295,0.004057,0.906748
0.6839,97.3874849466753,-31.291382353122,97.38747767048,-31.2913576509,0.0318,0.0364,0.2971,0.0435,-1.399,0.045,5.558,0.045,0,16.610424,0.002817,16.840775,0.004703,16.228231,0.005151,0.612543
0.6877,97.4083370426314,-31.2832241554098,97.40833056795,-31.28319967541,0.0192,0.0208,0.2131,0.0249,-1.245,0.027,5.508,0.027,0,15.591938,0.002776,15.875241,0.003432,15.14011,0.004145,0.735131
0.6883,97.3860108974981,-31.2904033323481,97.38596393298,-31.29042694569,0.0114,0.0124,0.7015,0.015,-9.03,0.016,-5.313,0.016,0,14.414897,0.002766,14.722165,0.002977,13.931274,0.003869,0.790891
0.6922,97.404575085075,-31.2738309991343,97.40456889184,-31.27380651469,0.0299,0.0335,0.1582,0.0397,-1.191,0.043,5.509,0.041,0,16.526693,0.002808,16.764648,0.004739,16.131363,0.004434,0.633286
0.695,97.3829739801524,-31.2873004668688,97.38296837372,-31.28727721798,0.2031,0.2361,0.515,0.2984,-1.078,0.301,5.231,0.287,0,19.573334,0.004345,20.210321,0.055446,18.917017,0.028348,1.293304
0.696,97.4064263059224,-31.2882406068177,97.4064211155,-31.28821426904,0.1632,0.172,0.4381,0.2172,-0.998,0.227,5.926,0.204,0,19.178179,0.003788,19.662312,0.096982,18.48983,0.019247,1.172482
0.6978,97.3860214300251,-31.2732347783776,97.38601417083,-31.2732108406,0.0594,0.0637,0.2199,0.0775,-1.396,0.085,5.386,0.079,0,17.807411,0.003092,18.170311,0.013091,17.311989,0.009161,0.858322
0.7002,97.4025112214899,-31.2917188952365,97.40250502708,-31.29169406857,0.0211,0.0224,0.1992,0.0275,-1.191,0.03,5.586,0.029,0,15.795614,0.002782,16.045176,0.003793,15.403174,0.004129,0.642001
0.7035,97.3822199328089,-31.2862196216433,97.38222081693,-31.28621164831,0.1465,0.1581,0.4312,0.1977,0.17,0.194,1.794,0.214,0,19.017389,0.003559,19.566393,0.048581,18.162064,0.019971,1.404329
0.7045,97.40743117031,-31.27694391116,97.40743117031,-31.27694391116,6.17,4.9631,,,,,,,0,21.133575,0.025891,,,,,
0.7046,97.3822808311048,-31.2775377400698,97.38227427361,-31.27751342007,0.0275,0.0312,0.2436,0.0389,-1.261,0.04,5.472,0.039,0,16.357409,0.002804,16.601692,0.00492,15.975902,0.004718,0.625791
0.706,97.4062343592879,-31.2887803610498,97.40622706249,-31.28875520105,0.0601,0.0641,0.276,0.0788,-1.403,0.083,5.661,0.08,0,17.812439,0.002945,18.11871,0.01287,17.248678,0.012453,0.870031
0.7067,97.4084265064226,-31.2846567277631,97.40841859627,-31.28463187443,0.0731,0.0792,0.1447,0.096,-1.521,0.102,5.592,0.099,0,18.108845,0.003171,18.195625,0.032724,17.434557,0.019855,0.761068
0.7118,97.3900027662805,-31.2709030321965,97.38999687483,-31.27087880553,0.0578,0.0631,0.1398,0.0769,-1.133,0.084,5.451,0.081,0,17.754822,0.002899,18.087048,0.010628,17.280239,0.007642,0.806808
