_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
19.0015,97.7224141624195,-31.4307278138995,97.72239357238,-31.43070602279,0.1652,0.1776,1.3018,0.2237,-3.953,0.223,4.903,0.216,0,19.15657,0.00386,20.393999,0.087295,18.079237,0.016029,2.314762
19.0015,97.1096309959594,-31.0802481420099,97.10960101674,-31.08026336868,0.138,0.158,0.2167,0.1817,-5.777,0.206,-3.426,0.204,0,18.080235,0.003583,18.556175,0.020042,17.123367,0.008829,1.432808
19.0038,97.47709059337,-31.59083319492,97.47709059337,-31.59083319492,3.8489,5.2946,,,,,,,0,20.946224,0.01712,21.212708,0.276999,19.826416,0.08273,1.386292
19.0051,97.543299030805,-31.57232885309,97.5432965477,-31.57232121309,0.1534,0.1741,0.5195,0.1983,-0.476,0.199,1.719,0.201,0,19.24791,0.003677,19.745705,0.031277,18.593481,0.022503,1.152224
19.0053,97.1370445817033,-31.5096591486711,97.1370475636,-31.50965471756,0.3138,0.3778,0.6576,0.4418,0.572,0.388,0.997,0.43,0,20.141241,0.005615,21.090878,0.114446,19.135468,0.03646,1.95541
19.0076,97.453601668533,-30.9691598324063,97.45359198083,-30.96914652574,0.224,0.2804,-0.1845,0.3204,-1.869,0.324,2.994,0.333,0,19.752441,0.004361,20.489807,0.055612,18.918255,0.039016,1.571552
19.0088,97.3120036184517,-31.5906652916915,97.31192506176,-31.59072729616,0.3902,0.4664,2.31,0.548,-15.056,0.477,-13.951,0.577,0,20.423605,0.006251,20.84251,0.154281,19.253054,0.061097,1.589457
19.0116,97.7558814038093,-31.2098708726667,97.75591075889,-31.20989711267,0.0297,0.035,1.7224,0.0423,5.649,0.042,-5.904,0.042,0,16.365511,0.002805,17.258326,0.006121,15.432828,0.004309,1.825498
19.019,97.5231826483137,-31.5794694940489,97.52319977053,-31.57945517405,0.3418,0.4192,0.9019,0.4684,3.282,0.429,3.222,0.501,0,20.226727,0.005714,20.671963,0.085614,19.31147,0.046819,1.360493
19.02,97.1355746621777,-31.5087761633795,97.13556342804,-31.50876600338,0.0397,0.0477,0.6425,0.0564,-2.155,0.051,2.286,0.057,0,16.947691,0.002843,17.414791,0.00566,16.335186,0.00541,1.079605
19.021,97.7640262945846,-31.2502931958066,97.76402955419,-31.25029572914,0.2206,0.2667,0.0255,0.3234,0.627,0.329,-0.57,0.339,0,19.632771,0.004332,20.650448,0.112145,18.597866,0.04019,2.052582
19.0264,97.2554720837578,-30.98820549601,97.25547077729,-30.98818661601,0.0747,0.085,0.4156,0.1006,-0.252,0.102,4.248,0.109,0,18.135874,0.002972,18.595484,0.014208,17.520624,0.014881,1.07486
19.0291,97.5874745860299,-31.553261935902,97.58746667927,-31.55325079368,0.6465,0.7791,-1.7177,0.8876,-1.516,0.782,2.507,0.854,0,20.752884,0.009488,21.387371,0.140444,19.963043,0.123263,1.424328
19.0299,97.5709998716577,-31.5613022220733,97.57099972561,-31.56129472874,0.4719,0.6163,1.4499,0.6933,-0.028,0.557,1.686,0.662,0,20.566004,0.007637,20.859917,0.118639,19.936581,0.095663,0.923336
19.0302,97.5476546775059,-31.5711522624911,97.54765103636,-31.57113215138,0.2507,0.2835,0.0463,0.3243,-0.698,0.321,4.525,0.333,0,19.805267,0.00454,20.480612,0.064828,19.139648,0.05007,1.340963
19.0314,97.1821710285107,-31.5419906777174,97.18215173334,-31.54196758883,0.3119,0.3427,0.6135,0.4154,-3.7,0.418,5.195,0.453,0,20.069983,0.00519,20.829681,0.096701,19.222521,0.047772,1.607161
19.0315,97.0666005930298,-31.1345868770753,97.06659202041,-31.13458496152,0.3256,0.4011,0.9355,0.4879,-1.651,0.474,0.431,0.525,1,19.979746,0.005397,21.291616,0.128061,18.836113,0.037539,2.455503
19.0366,97.3201836317891,-30.9712111419021,97.32018960315,-30.97119731968,0.0833,0.0967,0.4095,0.111,1.152,0.115,3.11,0.121,0,18.382076,0.003067,18.762707,0.018167,17.833757,0.019188,0.928949
19.0388,97.7218639305012,-31.4329295312954,97.72183921979,-31.43291251352,0.0293,0.0311,0.7498,0.0378,-4.744,0.04,3.829,0.039,0,16.290258,0.002789,16.813585,0.00506,15.619336,0.004545,1.194249
19.0398,97.5695217931879,-31.0019529392722,97.56952222874,-31.00196907705,0.0454,0.0535,1.2024,0.0608,0.084,0.062,-3.631,0.067,0,17.211985,0.002852,18.183475,0.014636,16.260345,0.005265,1.92313
19.0398,97.7533913396634,-31.1993524032051,97.75333932839,-31.19929560766,0.1353,0.1633,1.9955,0.1955,-10.01,0.184,12.779,0.199,0,19.021502,0.003655,20.494175,0.068632,17.88266,0.016219,2.611515
19.0412,97.0309861970783,-31.2197138306088,97.03098978824,-31.21972262172,0.1672,0.2068,0.7438,0.2323,0.691,0.23,-1.978,0.265,0,19.337639,0.00406,20.086096,0.050297,18.59877,0.025937,1.487326
19.0425,97.1752530536543,-31.5379813624149,97.17526562105,-31.53798684686,0.5012,0.5852,1.246,0.7063,2.41,0.691,-1.234,0.713,0,20.609802,0.007864,21.232376,0.162084,19.995024,0.077149,1.237352
19.0432,97.4646588370314,-31.593703047077,97.46469115089,-31.59371197597,0.4053,0.4829,1.8823,0.576,6.193,0.535,-2.009,0.563,0,20.446926,0.006801,21.343103,0.164156,19.30905,0.059602,2.034054
19.0479,97.03489540287,-31.20451918587,97.03489540287,-31.20451918587,2.6871,3.1081,,,,,,,0,21.132334,0.026592,22.150478,1.474459,19.7222,0.255712,2.428278
19.048,97.6761244066967,-31.0747568138755,97.67612258013,-31.07473369832,0.0828,0.0921,0.2759,0.1114,-0.352,0.11,5.201,0.112,0,18.239574,0.003082,18.690109,0.019319,17.628716,0.014872,1.061394
19.0493,97.30726010122,-31.59048145317,97.30726010122,-31.59048145317,2.3369,1.6061,,,,,,,0,21.035538,0.022243,21.729919,0.377436,19.927696,0.240302,1.802223
